entire lamina septum pellucidum	gehele lamina septi pellucidi
fungal ulcer of esophagus	zweer van slokdarm door schimmel
nail wound of axilla	verwonding van axilla door spijker
discharge by clinical allergist	ontlading door een klinisch allergoloog
foreign body accident	ongeval met corpus alienum
closed blow-out fracture of right orbital floor	gesloten ‘blow out’-fractuur van bodem van rechter oogkas
kidney and/or ureter structures	nier en/of urineleider
insertion of upper removable orthodontic appliance	aanmeten van uitneembaar orthodontisch hulpmiddel voor bovengebit
liquid nitrogen container	container voor vloeibare stikstof
MRI of left orbit	MRI van linker oogkas
left common carotid artery structure	structuur van arteria carotis communis sinistra
temporomandibular joint dislocation - non-traumatic	non-traumatische luxatie van TMG
banding of ascending vertical vein	'banding' van 'ascending vertical vein'
insertion of ring pessary into vagina	Inbrengen ringpessarium
anterior open bite	anterieure open beet
5,10-Methylenetetrahydrofolate reductase deficiency	deficiëntie van 5,10-methyleentetrahydrofolaatreductase
plain X-ray of bilateral femurs	röntgenfoto van bilaterale femora
fluoroscopic angiography of external carotid artery using contrast with insertion of stent graft	contrastangiografie van buitenste halsslagader met plaatsing van stentgraft onder doorlichting
percutaneous transluminal cutting balloon angioplasty of thoracic aorta using fluoroscopic guidance	percutane transluminale angioplastiek met 'cutting balloon' van aorta thoracalis onder röntgendoorlichting
latrodectus mactans hasselti	Latrodectus mactans hasselti
benign oesophageal polyp	benigne poliep van oesofagus
intravenous care management	management van intraveneuze zorg
congenital absence of left lower limb	congenitale afzweigheid van gehele linker onderste extremiteit
acquired spondylolisthesis of thoracolumbar vertebra	verworven spondylolisthesis van wervel van thoracolumbale regio
with psychosis recurrent manic episodes, severe	met psychose recidiverende manische episode, ernstig
entire deep plantar artery	gehele arteria plantaris profunda
poisoning by coumarin	vergiftiging door cumarine
continuous processed electroencephalogram using compressed spectral array	continue bewerkte elektro-encefalografie met behulp van 'compressed spectral array'
propionibacterium acidifaciens	Propionibacterium acidifaciens
allergy to mecillinam	allergie voor mecillinam
lipoma of skin and subcutaneous tissue of limb	lipoom van huid en/of onderhuids bindweefsel van extremiteit
entire diencephalon	gehele diencephalon
operative ultrasound	operatieve echografie
non-sterile laryngectomy tube	niet-steriele laryngectomietube
mental health monitoring first letter	mentale gezondheidsmonitoring eerste brief
villous adenoma of duodenum	villeus adenoom van duodenum
helminthiasis with arthropathy of the hand	artropathie van hand bij wormziekte
geriatric monitoring call	geriatrische controleoproep
third degree perineal tear during delivery - delivered	derdegraads perineumruptuur durante partu - bevallen
hip joint transplantation	transplantatie van heupgewricht
anicteric type A viral hepatitis	anicterische virale hepatitis A
entire costal surface of lung	gehele costale oppervlak van long
magnet extraction of intraocular foreign body from anterior chamber of eye	extractie met magneet van intraoculair corpus alienum in voorste oogkamer
transplanted cornea present	aanwezigheid van getransplanteerde cornea
neoplasm of inguinal region	tumor van liesgebied
brucella immunoglobulin G level	Brucella immunoglobuline G-niveau
holzgreve Wagner Rehder syndrome	Syndroom van Holzgreve-Wagner-Rehder
tissue specimen from gall bladder	preparaat van weefsel van vesica fellea
disorder of portal system	aandoening van poortaderstelsel
division of joint cartilage of hand	klieven van kraakbeen van handgewricht
scapular line of abdomen	scapulaire lijn van buik
intentional amsacrine overdose	opzettelijke overdosis amsacrine
nucleus pulposus which is L4-L5	nucleus pulposus van wervel L4
cruciate primary repair of torn ligament and capsule of knee	primair operatief herstel van gescheurd ligamentum cruciatum en kapsel van knie
infection by Basidiobolus	infectie door Basidiobolus
MR arthrography of carpometacarpal joint	MRI-beeldvorming van articulatio carpometacarpea
ornithine carbamoyltransferase measurement	bepalen van ornithine-transcarbamoylase
acholic feces	acholische feces
teach compliance with diet	voorlichten over compliantie met dieetvoorschriften
finding related to ability to use self-expression	bevinding met betrekking tot het vermogen om zelfexpressie te gebruiken
acute post-streptococcal glomerulonephritis	acute glomerulonefritis na infectie met streptokokken
metanephric adenoma	metanefrisch adenoom
entire C1/C2 ligamentum flavum	gehele ligamentum flavum ter hoogte van wervel C1-C2
sclerotic panatrophy	sclerotische panatrofie
grunting baby	grunting baby
congenital abnormality of lacrimal drainage system	congenitale malformatie van lacrimaal drainagesysteem
disorder of taste	smaakstoornis
t4 vertebral foramen	structuur van foramen vertebrale van wervel T4
guyana	Guyana
ventricular shunt to urinary system	aanleggen van ventriculaire shunt naar urinewegstelsel
skin-soothing wipe	huidverzachtend doekje
encelia californica	Encelia californica
head of distal phalanx of finger	caput van distale falanx van vinger
subconjunctival degeneration	subconjunctivale degeneratie
trisomy 3 mosaicism	mozaïektrisomie 3
klinefelter's syndrome XXXXY	syndroom van Klinefelter XXXXY
chronic lymphangitis	chronische ontsteking van lymfevat
structure of pharyngeal ostium of Eustachian tube	structuur van ostium pharyngeum tubae auditivae
finding of presence of septate fungal hyphae	aanwezigheid van gesepteerde schimmeldraad
accidental overdose by sodium valproate	toevallige overdosering door natriumvalproaat
entire laryngeal gland	volledige laryngeale klier
x-linked dominant chondrodysplasia Chassaing Lacombe type	microftalmie X-gebonden dominante chondrodysplasie, hydrocefalie
salmonella enterica subsp. enterica ser. Togba	Salmonella enterica subspecies enterica serovar Togba
bradyrhizobium elkanii	Bradyrhizobium elkanii
structure of ossification center of base of first metacarpal	ossificatiekern van basis van eerste metacarpaal
hemoglobin J-Broussais	hemoglobine J-Broussais
structure of medial meniscus of right knee joint	meniscus medialis van rechter articulatio genus
metastatic malignant neoplasm to cauda equina	metastase in cauda equina
primary malignant neoplasm of vocal cord	primair maligne neoplasma van stemband
fails to recognise stages of grief	slaagt er niet in fases van rouw te herkennen
human adenovirus B	humaan mastadenovirus B
colonic lavage system which is gravity-flow	colonlavagesysteem met zwaartekrachtstroming
blood group antigen 1123K	bloedgroep antigeen 1123K
oerskovia jenensis	Oerskovia jenensis
benign tumour of tympanic antrum	benigne neoplasma van antrum mastoideum
repair of anterior abdominal wall with microvascular transferred flap	operatief herstel van voorwand van buik met flap met microvasculaire anastomosen
gefitinib	gefitinib
fluoroscopic angiography of inferior mesenteric artery using contrast with insertion of drug eluting stent	fluoroscopisch geleide contrastangiografie van arteria mesenterica inferior met plaatsing van DES
entire proximal third of shaft of bone	geheel proximaal derde deel van diafyse
milia of eyelid	milium van palpebra
prevotella tannerae	Prevotella tannerae
allergy to boric acid	allergie voor boorzuur
allergy to metformin	allergie voor metformine
entire superior oblique muscle tendon	pees van musculus obliquus superior bulbi
cardiopulmonary bypass operation	gebruik van cardiopulmonale bypasscircuit tijdens operatie
megavoltage radiation therapy using photons	megavoltradiotherapie met fotonen
teacher in economics and commerce	docent economie en handelswetenschappen in hoger onderwijs
synechia	verkleving
simple laceration of maxillary vestibule	eenvoudige laceratie van mondvoorhof van maxilla
accidental ingestion of death cap	onopzettelijke inname van groene knolamaniet
retrograde anaesthesia for femoral arteriograms	verdoving voor retrograde angiografie van dijbeenslagader
partially acid-fast bacillus	gedeeltelijk zuurvaste bacil
dementia and amelogenesis imperfecta epilepsy	verstandelijke handicap en amelogenesis imperfecta epilepsie
animal-derived oral wound dressing	mondheelkundig wondverband van dierlijke oorsprong
liaising with referrer	contact met verwijzend arts
iodide overdose of undetermined intent	jodidische overdosis van onbepaalde duur
hypospadias	hypospadie
kaeng Khoi virus	Kaeng Khoi-virus
genus Archboldia	geslacht Archboldia
eosinophil peroxidase deficiency	deficiëntie van eosinofiel peroxidase
spinal nerve root T11	structuur van zenuwwortel T11
product containing only dolutegravir and lamivudine	product dat alleen dolutegravir en lamivudine bevat
structure of ventral posterior nucleus of thalamus	structuur van nucleus ventrobasalis
total laparoscopic hysterectomy	resectie van gehele uterus met laparoscoop
pancreas cyst fluid sample	monster van vocht uit cyste van pancreas
anti-infectives adverse reaction	'adverse reaction' van anti-infectans
neoplasm of uncertain behaviour of posterior wall of oropharynx	neoplasma van achterwand van orofarynx met onzeker maligne potentieel
sepsis caused by Gram negative bacteria	sepsis door gramnegatieve bacteriën
congenital hyperinsulinism	congenitaal hyperinsulinisme
parietooccipital fissure	fissura parietooccipitalis
external oesophageal fistula	externe oesofagusfistel
teratoma of testis	teratoom van zaadbal
tissue specimen from pancreas	preparaat van weefsel van pancreas
entire tendon sheath of flexor tendon of digit	gehele peesschede van flexorpees van vinger
exploration of vein of upper limb	exploratie van vene van bovenste extremiteit
skeletal ligament structure	skeletligament
alpha-Hydroxyalprazolam measurement	bepalen van alfa-hydroxyalprazolam
ligation of lesion of skin of head or neck	ligatie van afwijkend weefsel van huid van hoofd of hals
penetrating wound of orbit without foreign body	penetratiewond van orbita zonder corpus alienum
laceration of lacrimal passage	laceratie van lacrimaal afvoersysteem
reattached toe complication	herbevestigde teen complicatie
entire joint of cervical and thoracic spine	geheel gewricht van cervicale en/of thoracale wervelkolom
multiple drug-resistant Citrobacter freundii	meervoudige geneesmiddelenresistente Citrobacter freundii
medical care unavailable	medische voorzieningen niet beschikbaar
hummus	hummus
embolism and thrombosis of the ulnar artery	trombo-embolie van arteria ulnaris
melanocytic naevus of right upper limb	naevus naevocellularis van huid van rechter bovenste extremiteit
myxozyma melibiosi	Myxozyma melibiosi
FAB M6 erythroleukemia	erytroleukemie FAB M6
x-ray system tube cooling unit	koeleenheid voor röntgensysteembuis
laceration of ankle with foreign body	laceratie van enkel met corpus alienum
on examination - auditory canal - no abnormality detected	bij onderzoek - gehoorgang - geen afwijking geconstateerd
skeletal muscle structure of pelvis	structuur van skeletspier van bekken
entire small intestine lamina propria	gehele lamina propria van dunne darm
finding of fetal heart rhythm	bevinding betreffende foetaal hartritme
skin of finger of right hand	exclusief duim structuur van huid van vinger van rechter hand
entire spermatic cord and male perineal structures	gehele funiculus spermaticus en/of perineum masculinum
bone structure of carpus	structuur van ossa carpi
entire inguinal lymph node	gehele lymfeklier van lies
insertion of temporary neurostimulator into peripheral nerve	insertie van tijdelijke neurostimulator in perifere zenuw
