gastric aspirate present	ventrikelaspirat påvist
palmar hyperkeratosis of yaws	Palmar hyperkeratose af framboesia
entire apex of heart	apex cordis som helhed
term birth of newborn triplets	fødsel til terminen af trillinger
digital assisted intubation	digitalt assisteret intubation
apophysitis	ikke nærmere specificeret Apofysit
videofluoroscopy swallow completed	videofluoroskopisk indtagelse fuldført
atypical squamous metaplasia	atypisk planocellulær metaplasi
distraction test audiological screening service	audiologisk screening med distraktionstest
drainage of oesophagus	Drænage af oesophagus
typhlocolitis	kolit forårsaget af Typhlocoelum
neoplasm of pisiform bone of hand	neoplasme i os pisiforme i hånd
alprazolam 500 microgram orodispersible tablet	alprazolam 500 µg oralt opløselig tablet
body secretion	kropssekret
embryonal carcinosarcoma	embryonalt karcinosarkom
axillary tail position on mammogram	position af processus axillaris på mammogram
measurement of ratio of cell count to total gated cells	måling af ratio mellem celletal og totalt antal gatede celler
hyperreactio luteinalis	hyperreactio luteinalis
structure of inferior thyroid vein	struktur af vena thyroidea inferior
ulcer healing drug allergy	allergi over for ulcushelende lægemiddel
imaging of arteries of lower extremities	billeddiagnostisk undersøgelse af arterier i underekstremiteter
X-linked recessive type chondrodysplasia punctata	X-bundet recessiv type Chondrodysplasia punctata
senile and presenile organic psychotic conditions	senile og præsenile organiske psykotiske tilstande
accident caused by lino cutter	uheld forårsaget af linoleumskniv
structure of vallate papillae of tongue	struktur af tungens papillae vallatae
structure of central tegmental tract of midbrain	struktur af tractus tegmentalis centralis i mellemhjernen
neomycin sulfate 500 mg oral tablet	neomycinsulfat tablet 500 mg
entire flexor tendon and tendon sheath of great toe	fleksorsene og seneskede på storetå som helhed
extirpation of lesion of eyelid	Eksstirpation af morfologisk forandring på øjenlåg
tendon of suboccipital muscle	suboccipital muskels sene
intentional phenobarbitone overdose	tilsigtet overdosis af phenobarbiton
dexmethylphenidate hydrochloride 10 mg oral tablet	dexmethylphenidathydrochlorid 10 mg tablet
FIGO ovarian tumour staging system	FIGO-stadieinddelingssystem for ovarietumor
inequality in size of cerebral ventricles	Uens størrelse af cerebrale ventrikler
grandson	barnebarn
cannulation of trachea	kanylering af trachea
referral for palliative care	henvisning mhp. palliativ behandling
inorganic carbon	Uorganisk kulstof
infraorbital facial cleft - Tessier cleft 4	Infraorbital ansigtsspalte  Tessier 4
entire ligamentum nuchae	ligamentum nuchae som helhed
skin of extremity transposition	Transposition af hud på ekstremitet
electrolyte depletion	elektrolytdepletion
alefacept	alefacept
repair of atrial septal defect with tissue graft	korrektion af atrieseptumdefekt vha. vævsgraft
excisional biopsy of cerebral meninges	Excisionsbiopsi af cerebrale meninges
lanreotide 120mg/0.5mL prefilled syringe	lanreotid 120 mg/0,5 ml i fyldt injektionssprøjte
fetlock region of equine hindlimb	kodeledsområde i bagben på hest
abscess of perivesicular tissue of urinary bladder	abses i perivesikulært væv i urinblære
articular cartilage disorder of other joints of the shoulder girdle	sygdom i ledbrusk i andre led i skulderbæltet
church of Scientology	Scientologikirken
thiamin pyridinylase	Thiaminpyridinylase
mitsuokella species	Mitsuokella-art
post-traumatic communicating hydrocephalus	posttraumatisk kommunikerende hydrocephalus
pulmonary artery congenital abnormality	kongenit anomali i arteria pulmonalis
inner cortex) pT3: Tumor limited to the larynx with vocal cord fixation and/or invades any of the following: postcrocoid area, pre-epiglottic tissues, paraglottic space, and/or minor thyroid cartilage erosion (e.g.	og/el. m. mindre erosion af cartilago thyroidea (fx indre cortex) pT3: Tumor begrænset t. larynx m. stemmelæbefiksering og/el. indvækst i en af flg. lokalisationer: postkrikoide område, præepiglottisk væv, paraglottisk rum
does not recognise numbers	genkender ikke tal
extracranial destruction of cranial nerve	Ekstrakraniel destruktion af hjernenerve
shipment/travel arrange clerk	medarbejder inden for shipping- og rejsebranchen
inappropriate elimination	Utilstrækkelig udskillelse
rhesus isoimmunization unspecified	uspecificeret Rhesusisoimmunisering
health belief: perceived ability to perform	opfattelse af sundhedstilstand: bevidst om evne til at præstere
clothes wringer	tøjcentrifuge
organ donor	organdonor
drug aerosol foam	skum aerosol med lægemiddel
referral to private state registered podiatry service	statsautoriseret fodterapeut henvisning til privat
structure of palmar ligaments of interphalangeal joints of hand	struktur af palmare ligamenter i interfalangealled i hånd
difficulty using domestic equipment	besvær med at anvende husholdningsudstyr
entire dorsal vein of hand	dorsal vene som helhed i hånd
salmonella II 6,8:g,m,t:(e,n,x)	Salmonella II 6,8:g,m,t:(e,n,x)
fixed orthodontic appliance	Fikseret ortodontisk apparatur
nocardiopsis composta	Nocardiopsis composta
normal circannual biorhythm	Normal cirkannual biorytme
toxic effect of strychnine	toksisk virkning af strychnin
acute nephropathy	Akut nefropati
hydroxyzine hydrochloride 50 mg oral tablet	hydroxyzinhydrochlorid 50 mg tablet
simple partial seizure with focal motor signs without march	simpelt partielt anfald med fokale motoriske symptomer uden march
glaucoma suspect	mistanke om glaukom
colony forming unit-granulocyte assay	analyse af kolonidannende granulocytenheder
ankle degloving injury	décollementlæsion på ankel
modified Dukes stage C1	Modificeret Dukes stadium C1
main spoken language Swahili	Primært talesprog: swahili
diagnostic radiography with contrast media by injection, positive contrast which is post-operative	post-operativ diagnostisk radiografi med kontraststof ved injektion med positiv kontrast
entire posterior corpus callosal vein	posterior vene i corpus callosum som helhed
finding of knee squat test	fund vedr. knætest ved hugsidning
carcinoma in situ of ureter	Carcinoma in situ i ureter
skin expander procedures	hudekspander-procedurer
passenger injured fall in train	fald i tog passager kvæstet
atypical childhood psychoses	Atypiske psykoser i barndommen
peripheral arteriovenous malformation	perifer arteriovenøs misdannelse
sinus node recovery phase	restitutionsfase for sinusknude
of fetus and newborn intraventricular (nontraumatic) hemorrhage, grade 2	hos foster eller nyfødt intraventrikulær ikke-traumatisk blødning, grad 2
history of right oophorectomy	sygehistorie: højresidig ooforektomi
hard vaginal capsule	hård vaginalkapsel
subacute oophoritis	Subakut ooforit
finding related to ability to use vacuum cleaner	fund vedr. evne til at bruge støvsuger
entoptic phenomenon	entoptisk fænomen
closed traumatic dislocation lunate (volar)	Lukket traumatisk volar luksation af os lunatum
salmonella kaitaan	Salmonella kaitaan
family Nodaviridae	familien Nodaviridae
exteriorisation - action	Blotlægning  handling
substernal thyroidectomy by transthoracic approach	substernal thyroidektomi ved transtorakal adgang
fire extinguisher material causing toxic effect	toksisk virkning af brandslukningsmiddel
etidronate disodium 400 mg oral tablet	etidronatdinatrium 400 mg tablet
acinetobacter towneri	Acinetobacter towneri
lactobacillus ultunensis	Lactobacillus ultunensis
sodium para-aminohippurate	natriumparaaminohippurat
injection into uterine cavity NEC	ikke klassificeret andetsteds Injektion i cavitas uteri
able to transfer	i stand til at forflytte sig
injury of superior mesenteric artery	traumatisk læsion af arteria mesenterica superior
dental technician - RAF	tandtekniker  ved flyvevåbnet
CD61+ lymphocyte	CD61+ lymfocyt
drowsiness	døsighed
medazepam	medazepam
convalescence after surgery	Rekonvalescens efter operation
rides a motorbike	Kører på motorcykel
crushed under unridden fallen animal	knust under faldet dyr uden rytter
stem cell type malignant lymphoma	stamcelletype malignt lymfom
factor XI products adverse reaction	bivirkning af faktor XI-produkter
serum monoclonal band present	Monoklonalt bånd påvist i serum
abnormal urine odour	unormal urinlugt
micropsia	mikropsi
erythema of vulva	Erytem af vulva
complications of attempted introduction of fertilised ovum following in vitro fertilisation	Komplikationer til oplægning af fertiliseret ægcelle efter in vitro-fertilisering
acquired external femoral torsion	Erhvervet ekstern femoraltorsion
epikeratome	epikeratom
entire mucous membrane of larynx	larynxslimhinden som helhed
radionuclide brain study with inhaled gases	CAMILLAWD MED/MED?? undersøgelse af hjernen med inhalerede gasser med radioisotop
measurement of cardiovascular function	måling af kardiovaskulær funktion
double kidney with double pelvis	dobbelt nyre med dobbelt pelvis
weight bearing function of bone	Knogles vægtbærende funktion
other specified extended excision of right hemicolon	Anden specificeret udvidet excision af højre halvdel af colon
inpatient	indlagt patient
1627 Burgas	1627 Burgas
bowing of foot bone	Krumning af fodknogle
gonadal structure	struktur af gonade
tentorial laceration due to birth trauma	rift i tentorium cerebelli forårsaget af fødselstraume
less than or equal to 4 mitoses per high power field	færre end eller lig med 4 mitoser pr. HPF
regular drinker	regelmæssig alkoholindtagelse
continuous processed EEG	kontinuerlig EEG-optagelse
explain by report special stain, blood or bone marrow	belyst i rapport speciel farvning, blod eller knoglemarv
structure of subthalamic nucleus	struktur af nucleus subthalamicus
l4/5 disc	discus mellem L4 og L5
carcinoma in situ of ectopic male breast tissue	carcinoma in situ i ektopisk brystvæv hos mand
biliverdin reductase	biliverdinreductase
submersion or drowning due to boat overturning which is swimmer injured	svømmer kvæstet submersion eller drukning forårsaget af kæntrende båd
niacin+lovastatin 1000mg/40mg tablet	niacin + lovastatin tablet 1000 mg/40 mg
glucose present in stool specimen by chromatography	glucose ved kromatografi af fæces
on examination - abdominal pain - umbilical	objektivt: abdominale smerter - umbilikalt
drug reaction AND/OR intoxication specific to newborn	medikamentel reaktion OG/ELLER intoksikation hos nyfødt
strict anaerobic bacteria	obligat anaerobe bakterier
implantation of radioactive substance into prostate	implantation af radioaktivt stof i prostata
mechlorethamine	mechlorethamin
lichen planus-like	lichen ruber-lignende
dries self	Tørrer sig selv
methanocorpusculum	Methanocorpusculum
mixed acidophil-basophil carcinoma	karcinom af acidofil/basofil blandingstype
osteochondritis dissecans of fibula	osteochondritis dissecans i fibula
finding of infant feeding at 9 months	Fund vedr. madning af spædbarn ved 9 måneder
approach-approach conflict	Approach-approach-konflikt
fourth cranial nerve finding	fund vedr. 4. hjernenerve
referral to surgical transplant service	henvisning til kirurgisk transplantation
glipizide measurement	måling af glipizid
modified White class B pregestational diabetes mellitus AND/OR impaired glucose tolerance	modificeret White-klasse B prægestationel diabetes mellitus OG/ELLER nedsat glucosetolerance
psychodynamic complexes	psykodynamiske komplekser
tissue cyanide measurement	væv måling af cyanid
surgical biopsy of artery	Kirurgisk biopsi af arterie
male hypererotism	Mandlig hypererotisme
level unspecified open fracture of lower limb	uspecificeret niveau åben fraktur i underekstremitet
snuff user	Bruger af snustobak
chronic trophic ulcer of skin	Kronisk trofisk hudsår
node stage N1biv	lymfeknudeinvolvering stadium N1biv
cheese intake	Indtag af ost
anal verge finding	Fund vedr. analrand
insertion of prosthesis or prosthetic device of femoral head with use of methyl methacrylate	indsættelse af protese eller protetisk udstyr i caput femoris med brug af methylmethacrylat
bursa of elbow	bursa i albue
remove and clean give urinal	fjerne og rengøre det Give urinal
ulceration of cervical lymph node	Ulceration af cervikal lymfeknude
primary pulmonary blastomycosis	Primær pulmonal blastomykose
resorcinol	resorcinol
closure of aortoduodenal fistula	Lukning af aortaduodenal fistel
optometer	optometer
coxsackievirus A4 antibody assay	analyse for coxsackievirus A4-antistof
removal of embolus from arteriovenous shunt or cannula	fjernelse af embolus fra arteriovenøs(t) shunt eller kateter
t1: Tumor limited to one subsite of supraglottis with normal vocal cord mobility	T1: Tumor begrænset til én underlokalisation i supraglottis med normal stemmelæbemobilitet
salmonella II 53:z:1,5	Salmonella II 53:z:1,5
structure of tarsometatarsal joint	Struktur af tarsometatarsalled
electromyographic finding	fund ved elektromyografi
procedure on posterior segment of eye	indgreb på bageste segment i øje
neuroepithelial layer	neuroepitelialt lag
equalization of pressure of gallbladder	Udligning af galdeblærens tryk
nonvenomous snake bite	ugiftigt slangebid
nigrosine	nigrosin
ibuprofen 5% gel	ibuprofen 5 % gel
cisternal lumen annulate lamella	anulær lamel i cisternelumen
arteriovenous malformation	arteriovenøs misdannelse
type 1 skin hypersensitivity reaction	Type 1-hudoverfølsomhedsreaktion
jogger's nipple	friktionsfissur på brystvorte
